Year,importer,exporter,total_import
2023,Dominican Rep.,China,51016659.388
2023,Dominican Rep.,Brazil,10758394.949
2023,Ecuador,United States of America,84588402.387
2023,Ecuador,China,72240254.969
2023,Ecuador,Colombia,25664558.97
2023,Egypt,China,152771744.551
2023,Egypt,Saudi Arabia,60885928.887
2023,Egypt,Russia,59165785.123
2023,El Salvador,United States of America,48751068.612
2023,El Salvador,China,24510240.372
2023,El Salvador,Guatemala,21267635.022
2023,Eq. Guinea,China,6575743.098
2023,Eq. Guinea,Spain,5797277.475
2023,Eq. Guinea,United States of America,3394607.218
2023,Eritrea,China,1816487.064
2023,Eritrea,United Arab Emirates,662279.893
2023,Eritrea,Turkey,617257.616
2023,Estonia,Finland,28728973.076
2023,Estonia,Germany,28085589.111
2023,Estonia,Lithuania,20820008.123
2023,eSwatini,South Africa,15988725.087
2023,eSwatini,China,1311186.866
2023,eSwatini,India,440747.928
2023,Ethiopia,Djibouti,53926122.607
2023,Ethiopia,China,45888489.542
2023,Ethiopia,India,13960190.13
2023,Falkland Is.,United Kingdom,1551630.272
2023,Falkland Is.,Greece,326257.653
2023,Falkland Is.,Spain,192794.534
2023,Fiji,SIDS (Small island developing States) (UN-OHRLLS),7608569.659
2023,Fiji,SIDS: Pacific,7606052.257
2023,Fiji,Singapore,7390451.927999999
2023,Finland,Germany,128069371.729
2023,Finland,Sweden,103631106.501
2023,Finland,China,87586410.081
2023,France,Germany,1362440001.728
2023,France,Belgium,946094671.647
2023,France,Netherlands,780249692.608
2023,French Guiana,Sudan (...2011),
2023,French Guiana,Indonesia (...2002),
2023,Fr. Polynesia,France,8778988.33
2023,Fr. Polynesia,China,2792979.354
2023,Fr. Polynesia,United States of America,2159727.325
2023,Gabon,China,11383373.748
2023,Gabon,France,10539232.537
2023,Gabon,SIDS (Small island developing States) (UN-OHRLLS),6774652.744
2023,Gambia,China,3543455.608
2023,Gambia,India,1118276.557
2023,Gambia,Senegal,1051914.998
2023,Georgia,Turkey,28676868.674
2023,Georgia,United States of America,24467398.703
2023,Georgia,Russia,18356422.995
2023,Germany,China,1951676143.409
2023,Germany,United States of America,1108608780.543
2023,Germany,Netherlands,1080425267.975
2023,Ghana,China,53593811.312
2023,Ghana,Netherlands,10215486.725
2023,Ghana,India,7844783.995
2023,Greece,Germany,103211020.351
2023,Greece,China,84222329.26
2023,Greece,Italy,74795842.081
2023,Greenland,Denmark,5678464.022
2023,Greenland,Sweden,1637280.597
2023,Greenland,Spain,1157399.842
2023,Grenada,United States of America,2530755.091
2023,Grenada,SIDS (Small island developing States) (UN-OHRLLS),2080240.08
2023,Grenada,China,284003.591
2023,Guadeloupe,Sudan (...2011),
