iso3c,country,year,gdp,gdp_forc20,gap_dollars,gap_relative
PRT,Portugal,2019,100,100,0,0
PRI,Puerto Rico,2019,100,100,0,0
QAT,Qatar,2019,100,100,0,0
ROU,Romania,2019,100,100,0,0
RUS,Russia,2019,100,100,0,0
RWA,Rwanda,2019,100,100,0,0
WSM,Samoa,2019,100,100,0,0
SMR,San Marino,2019,100,100,0,0
STP,Sao Tome and Principe,2019,100,100,0,0
SAU,Saudi Arabia,2019,100,100,0,0
SEN,Senegal,2019,100,100,0,0
SRB,Serbia,2019,100,100,0,0
SYC,Seychelles,2019,100,100,0,0
SLE,Sierra Leone,2019,100,100,0,0
SGP,Singapore,2019,100,100,0,0
SXM,,2019,100,100,0,0
SVK,Slovakia,2019,100,100,0,0
SVN,Slovenia,2019,100,100,0,0
SLB,Solomon Islands,2019,100,100,0,0
SOM,Somalia,2019,100,100,0,0
ZAF,South Africa,2019,100,100,0,0
SSD,South Sudan,2019,100,100,0,0
ESP,Spain,2019,100,100,0,0
LKA,Sri Lanka,2019,100,100,0,0
KNA,Saint Kitts and Nevis,2019,100,100,0,0
LCA,Saint Lucia,2019,100,100,0,0
VCT,Saint Vincent and the Grenadines,2019,100,100,0,0
SDN,Sudan,2019,100,100,0,0
SUR,Suriname,2019,100,100,0,0
SWE,Sweden,2019,100,100,0,0
CHE,Switzerland,2019,100,100,0,0
SYR,Syrian Arab Republic,2019,100,100,0,0
TJK,Tajikistan,2019,100,100,0,0
TZA,Tanzania,2019,100,100,0,0
THA,Thailand,2019,100,100,0,0
TLS,Timor-Leste,2019,100,100,0,0
TGO,Togo,2019,100,100,0,0
TON,Tonga,2019,100,100,0,0
TTO,Trinidad and Tobago,2019,100,100,0,0
TUN,Tunisia,2019,100,100,0,0
TUR,Turkey,2019,100,100,0,0
TKM,Turkmenistan,2019,100,100,0,0
TCA,Turks and Caicos Islands,2019,100,100,0,0
TUV,Tuvalu,2019,100,100,0,0
UGA,Uganda,2019,100,100,0,0
